product_code,unit_of_order_code,product_name(do not edit),quantity_type(do not edit),product_tag,extra_product_details,tax_applicable(Yes or No),availability(available or limited or unavailable or hidden),cost,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,product_id(do not edit),quantity_type_id(do not edit)
'B0101','',Banana Blossom,Each,'B','','No','available',15.00,22.00,23.00,24.00,23.00,23.00,21.00,24.00,21.00,c8310ba9-fb48-42fd-90fa-5728d8e5c8d7,8d446963-03cb-4081-9ba7-4909f3208813
'B0102','',Banana Blossom,Kg,'B','','No','available',11.33,17.00,18.00,19.00,18.00,18.00,16.00,19.00,16.00,c8310ba9-fb48-42fd-90fa-5728d8e5c8d7,94ab9910-b3ea-495c-a740-198b0364a92f
'B0103','',Banana Leaves,Bag (1kg),'E3','','No','available',15.00,22.00,23.50,24.75,23.50,23.50,20.00,24.75,20.00,9dc35103-3f7f-4386-8156-cee5d8eef231,895d6267-d5ac-4cbd-ac1b-6788fd2f46ed
'A0009','',Bananas,Box (13kg),'B','','No','available',30.00,40.00,45.00,49.50,45.00,45.00,38.00,49.50,44.00,5443f863-62b6-4579-892c-bf66d8711584,d35b4e4a-31e8-4329-8fff-9a87e9be5978
'A0011','',Bananas,Kg,'B','','No','available',2.31,3.75,3.95,4.40,3.95,3.95,3.75,4.40,3.75,5443f863-62b6-4579-892c-bf66d8711584,94ab9910-b3ea-495c-a740-198b0364a92f
'A0012','',Bananas - Eco Red Tip,Box,'C','','No','limited',45.00,60.00,65.00,70.00,65.00,65.00,58.00,70.00,62.00,b6b78051-40b4-4410-b90b-f16f614991f7,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'A0013','',Bananas - Lady Finger,Box,'C','','No','available',50.00,65.00,68.00,72.00,68.00,68.00,64.00,72.00,64.00,116b1401-4d28-423c-9c44-c576b9970f57,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'A0014','',Bananas - Lady Finger,Kg,'C','','No','available',3.85,5.50,6.00,6.50,6.00,6.00,5.50,6.50,5.50,116b1401-4d28-423c-9c44-c576b9970f57,94ab9910-b3ea-495c-a740-198b0364a92f
'A0015','',Bananas - Monkey Finger,Box,'B','','No','unavailable',35.00,44.00,45.00,52.80,45.00,45.00,44.00,52.80,44.00,05baede3-90cb-4170-842c-ee0a45fcc811,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'A0016','',Bananas - Monkey Finger,Kg,'B','','No','unavailable',5.83,7.80,8.65,9.36,8.65,8.65,7.80,9.36,7.80,05baede3-90cb-4170-842c-ee0a45fcc811,94ab9910-b3ea-495c-a740-198b0364a92f
