MARKET,7/30/2020,,,,,,
,,Price,Price,Price,Qty,Qty,Qty
Product Name,Qty Type,,,,,,
,,Before,After,Change?,Before,After,Change?
Broccolini,Box (12),19,19,,8,8,
Cabbage - Black / Tuscan (Cavolo Nero),Each,2,2,,5,5,
Capsicums - Green,Box,30,30,,3,3,
Capsicums - Red Premium,Box,36,36,,8,8,
Capsicums - Yellow,Box,40,40,,2,2,
Carrots (Pre-Pack),Box (20kg),16,16,,6,6,
Carrots Dutch,Bunch,1.6,1.6,,20,20,
Celeriac,Bunch,15,15,,2,2,
Celery,Box (10),20,20,,6,6,
Chard - Rainbow,Bunch,3,3,,5,5,
Chillies - Long Green,Kg,10,10,,1,1,
Chillies - Long Red,Kg,12,12,,2,2,
Chives,Bunch,2.5,2.5,,5,5,
Coriander,Bunch,1.3,1.3,,60,60,
Eggplant,Box (7kg),55,55,,2,2,
Fennel - Large,Box (20),20,20,,1,1,
Galangal,Kg,10,10,,1,1,
Grapes - White / Green,Box,130,130,,4,4,
Kale - Green,Bunch,2,2,,20,20,
Kiwifruit - Green,Box,40,40,,4,4,
Leeks,Box (30),35,35,,2,2,
Lemongrass,Bunch,3.5,3.5,,2,2,
Lettuce - Cos Midi,Box (15),20,20,,1,1,
Micro Salad Mix,Pn,5,5,,2,2,
Mint,Bunch,1.5,1.5,,15,15,
Mint - Vietnamese,Bunch,1.5,1.5,,5,5,
Mushroom - Premium Cups,Box (4kg),30,30,,4,4,
Mushrooms - Swiss Brown,Box,25,25,,1,1,
Onions - Red Medium,Box (10kg),20,20,,8,8,
Oranges - Dolci,Box (10kg),45,45,,6,6,
Parsley - Continental,Bunch,1.2,1.2,,20,20,
Parsley - Curly,Bunch,1,1,,5,5,
Pears - Beurre Bosc,Box,32,32,,1,1,
Pears - Corella,Tray,26,26,,1,1,
Pears - Green,Box,40,40,,4,4,
Pears - Nashi,Tray,16,16,,1,1,
Peas - Fresh,Box (10kg),80,80,,1,1
Peas - Sugar Snap,Kg,15,15,,2,2
Plums,Box,130,130,,1,1
Pomegranates - Arils,Pkt (6),24,24,,2,2
Potatoes - Cocktail,Box (15kg),20,20,,6,6
Potatoes - Dutch Cream,Box,30,30,,2,2
Potatoes - Red Medium,Box (15kg),35,35,,8,8
Potatoes - Washed,Bag (5kg),3,3,,10,10
Pumpkin - Butternut,Box (18kg),40,40,,8,8
Radish - Daikon,Bag,25,25,,1,1
Radish - Red,Bunch,1,1,,20,20
Raspberries,Tray (12),84,84,,2,2
Rhubarb,Bunch,2.6,2.6,,20,20
Rocket - Wild,Box (1.5kg),12,12,,2,2
Rosemary,Bunch,2,2,,5,5
Sage,Bunch,2,2,,5,5
Salad Mix - Premium,Box (1.5kg),10,10,,2,2
Silverbeet,Bunch,3,3,,20,20
Spinach - Baby,Box (1.5kg),10,10,,8,8
Thyme,Bunch,2,2,,5,5
Tomatoes - Cherry Truss,Tray,45,45,,2,2
Tomatoes - Roma,Box (10kg),48,48,,2,2
Turnips,Bunch,7,7,,2,2
Watermelon Seedless,Kg,1.2,1.2,,300,300
